toi,tid,tfopwg_disp,pl_orbper,pl_trandep,pl_trandurh,pl_tranmid,pl_rade,pl_insol,pl_eqt,st_tmag,st_teff,st_rad,st_logg,st_dist,ra,dec
4702.01,248690688,PC,3.121702,12650.0,3.323,2459194.134783,14.8115,842.648,1500.0,12.2469,5944.0,1.29,4.25,521.26,68.219308,-3.737468
4703.01,293514367,PC,5.1155806,6250.0,3.042,2459517.108882,13.6976,366.902,1219.0,13.1052,6349.0,1.71,4.07,934.743,76.580083,13.772207
4704.01,455030519,APC,2.6875966,2480.0,1.469,2459197.724648,13.3886,272.867,1132.0,12.4562,5885.0,2.24,3.77,954.316,76.579417,3.588516
4705.01,436637677,PC,11.9140328,3050.0,5.076,2459519.126558,9.89059,194.396,1040.0,11.4616,5359.0,1.77,4.08,454.797,72.164943,12.95525
4706.01,37117064,PC,735.982363,9100.0,5.289,2458483.114646,12.541,0.0728708,,11.4558,5309.0,1.01,4.41,217.627,90.488285,-29.136423
4707.01,322825139,PC,0.4709937,1900.0,0.336,2459226.690709,14.5973,2761.87,2019.0,12.2096,6719.0,1.47,4.26,688.203,101.244048,-14.546664
4708.01,232194097,PC,3.3560085,10850.0,3.354,2459223.248135,15.1419,1635.6,1771.0,13.4142,5906.0,1.27,4.26,708.347,91.473323,0.357256
3986.01,470911286,FP,1.6212474,1100.0,3.262,2458981.484997,10.3122,1846.95,1826.0,12.5225,4949.0,3.11,,614.539,1.129367,66.403045
3987.01,452972453,FA,3.2358247,3260.0,3.629,2458981.689588,,,,12.753,,,,1308.27,8.762379,58.136446
3988.01,452938965,PC,2.8744227,5002.0,4.081,2459904.651667,13.3953,2213.89,1910.0,12.2454,6334.0,2.17,3.86,773.366,8.508428,58.844293
3989.01,444413256,FP,4.0104917,6051.0,2.293,2459905.714944,,5306.6,2377.0,11.9551,12373.0,,,2949.29,6.386516,63.040637
399.01,219388773,FP,1.5716819,743.4097278,1.9672248,2458412.383444,4.5091786,715.6772333,1319.1647872,10.6793,4752.8,0.982066,4.37,106.507,77.047577,-50.858906
3990.01,420446142,FP,5.8423636,2280.0,2.416,2458980.604616,18.7395,716.73,1441.0,11.6697,8648.0,3.85,3.6,1552.26,5.117344,63.031396
3991.01,418133917,PC,2.2774846,1520.0,3.756,2458981.868452,17.7506,1146.77,1621.0,12.1197,4827.0,4.7,,1089.93,0.202398,62.803046
3992.01,403347341,PC,6.397886,9792.0,2.296,2459906.078021,,229.482,1084.0,12.4316,5324.0,,,673.065,5.625421,57.873275
3993.01,403340402,PC,2.2237067,4640.0476893,2.7337946,2459853.946215,16.2026957,1748.4439071,1649.2355042,11.5625,6424.0,1.4399,,457.461,5.438019,59.105755
3994.01,372505528,FP,3.8974136,1990.0,2.061,2458977.165523,6.8757,504.623,1320.0,11.0986,6827.0,1.51,4.25,400.234,6.140224,62.235631
3995.01,347210614,APC,6.4219775,22004.0,4.211,2459870.688806,,803.471,1483.0,12.1602,6197.0,,,741.884,1.595472,56.192444
3996.01,347011522,FP,17.2045725,3770.0,4.987,2458973.929734,21.5086,434.974,1272.0,12.0205,6278.0,1.77,4.03,659.762,1.186715,54.196681
3997.01,327004130,PC,3.4600026,8214.0,1.827,2459908.19918,17.6761,744.569,1455.0,12.9854,5997.0,1.37,4.21,654.004,3.392818,59.896534
3998.01,320281287,PC,1.81451,12864.0,1.746,2459880.386105,13.3431,609.008,1383.0,12.1134,5696.0,1.17,4.31,399.813,7.636991,56.331467
3999.01,284528889,FP,4.112385,2110.0,3.474,2458981.890738,9.65749,570.966,1361.0,11.6437,5659.0,2.14,3.78,525.173,9.945507,62.393358
400.01,35857242,KP,3.6344447,9230.0,3.871,2459169.279248,14.25,1133.73,1616.0,11.3161,6272.0,1.42,4.25771,414.234,41.63916,-0.464125
4000.01,283015592,FP,3.7027104,12813.0,3.572,2459879.948933,21.058,1803.49,1815.0,12.5696,7493.0,1.9,4.12,878.067,0.974631,64.77632
4001.01,83148519,PC,4.8982659,2055.0,2.874,2459904.236518,4.84123,293.004,1152.0,11.7194,5696.0,1.09,4.37,315.572,2.528952,64.572568
4002.01,83053699,FP,3.3378852,5564.0,3.261,2459876.382409,19.0038,1878.15,1834.0,12.9214,6274.0,2.15,3.86,1083.39,2.335558,60.159078
4244.01,393340920,PC,1.8665254,3606.0,3.109,2459990.230842,10.2057,2933.46,2050.0,12.4027,6310.3,1.61,,767.846,130.709387,-46.213327
4245.01,52928939,PC,3.1527177,4102.6968156,1.8963737,2459963.826493,5.7168495,316.3922274,1075.6629276,11.7519,5093.0,0.800841,4.52,211.183,125.806237,-45.792458
