tic_id,label,catalog_period,period_days,depth,snr,sec_ratio,duration_hours,bls_power,odd_even_diff,transit_shape,dur_period_ratio,depth_consistency,ingress_egress_asymmetry,odd_even_ratio,source
KIC4458109,false_positive,41.477908,0.8258122785920887,9.654062805508625e-06,5.446069647943791,0.0,1.44,3.9221958126006393e-08,6.409867748802256e-06,4.682567584822098,0.072655737333299,3.163532691583668,0.3115880688247942,0.6632684283827874,Kepler-LC(3q)
KIC11560447,false_positive,0.527678272,0.5271523480156275,0.017553957208679,31.93220507928497,0.0,1.44,6.431169034644713,0.0002943601572834,0.4213495241385773,0.1138190889708818,1.462449984983082,3.5457818338450675,0.0167688679022893,Kepler-LC(3q)
KIC8167938,false_positive,2.565717939,5.13171968726382,0.0006340273238704,16.626616548401795,-0.068044668743124,1.44,1.4289068143177388e-05,1.4586752163148198e-05,0.9969503298538824,0.0116919870251119,0.4111357715356026,0.077905889181337,0.0230061411434029,Kepler-LC(3q)
KIC5990753,false_positive,7.21636091,3.6078927503402936,0.0001514898347164,5.1083534599169855,0.5292500154243406,1.44,1.014353469110173e-06,0.0001048086507053,0.9772648062669494,0.0166302060931109,1.1424322632997792,0.3886071407509311,0.6918070300310241,Kepler-LC(3q)
KIC6889235,false_positive,5.188671659,2.596838449997001,0.0001332542271368,10.155462784450084,0.0964020723898588,2.4000000000000004,1.897938481812568e-07,9.16428308002093e-05,0.9412933694223792,0.0385083638915295,1.1308285797869837,0.045166610110904,0.6876776519036121,Kepler-LC(3q)
KIC3560301,false_positive,4.6484156,0.4368488348919709,5.962945797799435e-06,3.133913322250604,0.0,1.44,3.1391173703916853e-07,1.0281185788274527e-05,1.0,0.1373472817315342,2.4948296331541924,1.391762321073936,1.7212923298353626,Kepler-LC(3q)
KIC11671429,false_positive,112.46358893,0.6262398430903543,0.0004042951069848,4.593141899450566,0.0,0.48,0.0001104316785575,0.0002442830247914,8.097103637655445,0.0319366457127742,1.5406464275462095,0.2269510850264853,0.6042046478541799,Kepler-LC(3q)
KIC7431665,false_positive,281.509095,0.7006110663142007,2.7785614251985e-05,3.4224405151104635,0.0,1.92,4.521039206265645e-06,6.883590198558664e-05,1.0,0.1141860353717602,3.5685857772182463,0.90730702968092,2.476502276997558,Kepler-LC(3q)
KIC10620329,false_positive,0.436282594,0.8723339673904525,0.0002909883265642,41.64161572233936,0.0,0.96,1.2859598149769509e-05,8.816075168782689e-06,2.7439907062877054,0.0458539980045236,0.2495971444208664,0.0406548942094149,0.0302959651791524,Kepler-LC(3q)
KIC10583181,false_positive,2.696354974,1.348841634699239,0.0146279104110726,22.861276068153405,0.0008042271896848,2.88,0.0075247470783749,0.0064046935853137,1.447794476405931,0.088965225355575,1.2944221233914537,0.1792041970744882,0.437840335832401,Kepler-LC(3q)
KIC8703887,false_positive,14.170972781,0.5069149634519075,0.0001590036059978,5.29108397247589,0.0,0.48,3.633277324446194e-05,4.668670626395421e-05,1.0,0.0394543492340554,0.8868049283805591,0.4551275053374485,0.2936019592221832,Kepler-LC(3q)
KIC3119256,false_positive,4.14244748,4.143085915755885,7.085751779611904e-05,7.429907461999135,0.195166574095196,1.92,4.460044317940127e-07,4.593535953278938e-06,1.210556678494609,0.0193092785490557,0.901846834121196,0.0291005704066904,0.0648186375949306,Kepler-LC(3q)
KIC5725087,false_positive,0.366197145,0.7323940904882408,0.000165890964115,38.93387865724257,0.0,0.96,9.192389537554376e-06,2.416878174937853e-05,6.162710815231554,0.0546154051752855,0.3643896048060751,0.0464323475854849,0.1456819849016873,Kepler-LC(3q)
KIC4073730,false_positive,6.2820426,3.1418344592989667,0.0002478665485124,10.442439333689274,0.1033981899761316,2.88,2.15817985607855e-06,1.5957460636206733e-05,1.1357896408901684,0.0381942465634473,0.502142929801731,0.3344660907420466,0.0643766452775265,Kepler-LC(3q)
KIC4851217,false_positive,2.470283788,1.2343129504305124,0.0700715915001779,144.00391466115698,0.0079058533285069,2.88,0.8481059587757169,0.0181198449173309,1.5252533707421738,0.0972200769327953,0.441785689958549,0.0060050918124068,0.2585904207895829,Kepler-LC(3q)
KIC5982353,false_positive,19.563092517,9.777172703296133,2.849565774176721e-05,1.2195512415406502,-0.3512762216383152,2.88,1.0133207388118666e-07,8.137764589533081e-05,0.665022156897723,0.0122734867882148,1.3063935314019468,4.809419567947289,2.854789271397664,Kepler-LC(3q)
KIC3003992,false_positive,7.24476126,7.242225202810555,4.848903873022614e-05,3.16554348273526,0.2108203821371788,1.92,1.2613653610203504e-07,3.7281703461067295e-06,1.090479632764146,0.0110463286848569,0.6916832015937995,0.0626195563739681,0.0768710152554676,Kepler-LC(3q)
KIC8878681,false_positive,2.496328637,2.4971457927219807,0.0004653857915606,29.79652544573378,0.0230973823127473,1.92,6.463026598936861e-06,2.403280624485582e-05,1.265455546366676,0.0320365756109085,0.358952019333652,0.0614077423951664,0.0516395005727606,Kepler-LC(3q)
KIC3240406,false_positive,0.934181579,0.4786303802333953,6.079559982885563e-06,3.5394213361360007,0.0,0.48,3.371355945566933e-08,3.754578272840981e-06,4.346012026142677,0.0417858974815751,3.4617023734502324,0.7242886401743704,0.6165598636671706,Kepler-LC(3q)
KIC6522750,false_positive,17.445640466,6.9641960958966695,6.88178997110267e-05,0.9542825854005312,-0.0995197950199802,2.4000000000000004,1.2170965659368384e-06,5.613232213363961e-05,-0.5126841355300494,0.0143591591366762,2.441952154347609,1.9653904950580707,0.8155460557319147,Kepler-LC(3q)
KIC10000490,false_positive,1.400991827,0.7006110663142007,0.0035928467668698,97.36201460239089,0.0,1.92,0.005693749000033,0.0009635216315245,7.650241885738227,0.1141860353717602,0.1564516701926791,1.2018529128882935,0.2681770229220696,Kepler-LC(3q)
KIC7422883,false_positive,11.41437505,11.345332178303682,0.0009239638100045,2.082574574651309,0.1007892330083815,2.88,3.80464983540129e-05,6.066050199515782e-05,1.0,0.0105770371562573,0.8166060153947382,0.6888962654013219,0.0656517547773961,Kepler-LC(3q)
KIC7097571,false_positive,2.213964145,1.106171309927834,0.0009218626358112,7.846405889707276,-0.3953734438977304,2.88,0.0184064638537607,0.0058564653593466,1.0,0.1084822928627833,6.552092412763038,15.921288848816936,6.352792275033472,Kepler-LC(3q)
