tic_id,Tmag,Teff,e_Teff,logg,e_logg,rad,e_rad,mass,e_mass,rho,e_rho,lum,MH,d,e_d,ebv,contratio,numcont,priority,disposition,gaiabp,gaiarp,plx,e_plx,Vmag,Jmag,Hmag,Kmag
437248515,11.4553,6217.0,102.229,4.31055,0.0762737,1.26867,0.0538694,1.2,0.166911,0.587667,0.117565,2.1662972,-0.08,383.829,6.334,0.0271714,0.0255595539,71,0.000508846,,12.0835,11.3985,2.57716,0.0426622,11.658,10.912,10.709,10.65
139158696,14.5293,5462.0,124.0,4.49258,,0.915391,,0.95,,1.23852,,0.671915531,,872.343,20.8455,0.0814523,,,,,15.4739,14.4425,1.11832,0.027166,14.882,13.732,13.326,13.25
458914949,10.2543,7846.0,210.444,3.90945,0.0796967,2.5132,0.0883042,1.87,0.292356,0.117804,0.0235942,21.5646935,,563.997,11.627,0.126792,0.0529186,586,5.07048244e-05,,10.6393,10.2021,1.74523,0.0362568,10.446,9.866,9.767,9.714
262746281,9.74179,5900.75,129.579,4.04414,0.0787024,1.62952,0.0829146,1.072,0.136382,0.247751,0.0537047,2.900305,0.176,205.924,1.5805,0.0292185,0.09556244,35,0.00102936989,,10.4981,9.69445,4.82758,0.0369886,10.312,9.207,8.86,8.844
270435047,12.8114,7588.0,211.973,4.08668,0.0865562,1.98815,0.0735653,1.76,0.298672,0.223959,0.0501946,11.8059425,,1153.23,21.515,0.321975,0.2049013,562,1.68387978e-05,,13.4809,12.7326,0.838396,0.0160557,13.314,12.181,12.018,11.917
370133522,10.1165,3536.0,157.0,4.83497,0.00291528,0.390989,0.0117402,0.381272,0.0203251,6.37883,0.23445,0.0215314273,,20.373,0.0192,0.0,0.0215696618,128,0.008615781,,12.4812,10.1611,49.0558,0.045873,12.68,8.697,8.161,7.915
248853232,8.8628,4746.0,125.37,4.4323,0.0935477,0.877591,0.0636256,0.76,0.0891518,1.12444,0.304208,0.352038,,49.9605,0.13165,0.0,0.0015752886,154,0.004432098,,10.0477,8.81835,19.9871,0.0523379,9.873,8.032,7.543,7.459
407394748,9.5287,7205.0,,,,1.76629,,,,,,,,280.381,,,0.0138540464,193,0.00180444808,,9.92042,9.4893,,,9.81,9.178,9.053,9.058
56399553,11.5476,5387.06,142.59,4.58431,0.106817,0.817114,0.0678241,0.935,0.120793,1.71381,0.558825,0.5066022,0.282941,178.475,1.3105,0.17889,0.2508571,96,0.0,,12.7748,11.5029,5.57452,0.0408217,12.532,10.622,10.168,10.062
454248975,11.4848,5512.0,127.334,3.97041,0.0768944,1.68738,0.0870904,0.97,0.122246,0.201898,0.044105,2.36787415,,389.916,3.171,0.114574,0.121269517,671,0.0005713206,,12.4893,11.432,2.53593,0.0207019,12.252,10.68,10.312,10.243
