tic_id,Teff,rad,mass,logg,Tmag,contratio
KIC8823868,9974.0,2.533,2.615,4.048,11.409,
KIC10514429,5837.0,1.366,0.946,4.143,11.413,
KIC5285607,6469.0,1.193,1.26,4.385,11.419,
KIC12268220,8026.0,3.461,1.95,3.65,11.425,
KIC6421137,6486.0,1.64,1.213,4.091,11.426,
KIC8019043,6651.0,3.219,1.503,3.6,11.427,
KIC8517303,4647.0,6.055,0.932,2.843,11.43,
KIC4851239,5798.0,0.941,1.038,4.507,11.438,
KIC7429287,5619.0,1.406,0.848,4.07,11.443,
KIC12252732,5618.0,1.288,0.865,4.155,11.446,
KIC9970396,4894.0,5.568,1.051,2.968,11.447,
KIC11968514,4884.0,8.747,1.522,2.737,11.449,
KIC6129632,5189.0,6.491,2.026,3.12,11.454,
KIC4372410,8098.0,2.199,1.819,4.013,11.456,
KIC4459068,8617.0,3.018,2.002,3.78,11.458,
KIC9302543,6732.0,3.276,1.676,3.632,11.464,
KIC5795648,6306.0,1.109,0.991,4.346,11.471,
KIC10467815,9030.0,3.218,2.505,3.822,11.471,
KIC2557430,6531.0,1.524,1.117,4.12,11.471,
KIC7385478,6725.0,2.171,1.247,3.86,11.471,
KIC10847721,8914.0,2.867,2.357,3.896,11.472,
KIC7031726,3420.0,138.056,1.291,0.269,11.476,
KIC6866251,5254.0,3.761,1.653,3.506,11.479,
KIC5042785,,,,,11.48,
KIC7430876,5780.0,1.0,1.0,4.438,11.486,
KIC12004971,6380.0,1.46,1.351,4.24,11.487,
KIC5263802,6657.0,1.501,1.255,4.181,11.494,
KIC10118942,6362.0,2.27,1.36,3.858,11.496,
KIC8715564,5260.0,0.717,0.68,4.56,11.504,
KIC4832197,6302.0,1.269,0.895,4.183,11.51,
KIC9786821,6195.0,1.598,1.09,4.069,11.51,
KIC5164794,5780.0,1.0,1.0,4.438,11.51,
KIC8914779,6258.0,1.896,1.14,3.939,11.511,
KIC7177553,5684.0,2.249,1.134,3.788,11.511,
KIC8398290,6596.0,2.176,1.415,3.913,11.513,
KIC5717567,6170.0,1.274,1.208,4.308,11.514,
KIC8453324,4927.0,9.356,2.434,2.882,11.516,
KIC5034333,8675.0,2.168,2.057,4.08,11.52,
KIC5565497,8468.0,1.91,1.728,4.114,11.521,
KIC8302455,6078.0,2.059,1.156,3.874,11.535,
KIC7989422,5957.0,1.953,0.983,3.849,11.539,
KIC4570555,5161.0,5.753,1.88,3.192,11.54,
KIC9340460,6164.0,1.825,1.173,3.985,11.543,
KIC10274244,5359.0,0.708,0.673,4.566,11.544,
KIC8258103,8596.0,2.968,1.994,3.793,11.548,
KIC11769801,6440.0,1.921,1.299,3.984,11.549,
KIC3097346,5929.0,1.651,1.127,4.055,11.551,
KIC4737302,7221.0,4.24,2.018,3.488,11.554,
KIC3240049,4403.0,12.927,0.917,2.178,11.557,
KIC6066416,6802.0,1.521,1.069,4.103,11.558,
KIC7541502,5160.0,3.279,1.45,3.568,11.56,
KIC11923819,7967.0,2.379,2.069,4.001,11.562,
KIC9822284,5780.0,1.0,1.0,4.438,11.563,
KIC7538450,7664.0,3.697,2.039,3.611,11.566,
KIC9471539,7682.0,2.783,1.949,3.838,11.575,
KIC9579860,4748.0,8.179,1.053,2.635,11.576,
KIC9652632,6499.0,1.497,0.993,4.084,11.576,
KIC4814168,6432.0,1.476,1.107,4.145,11.577,
KIC6387969,,,,,11.579,
KIC7281410,,,,,11.58,
KIC7777397,6705.0,3.293,1.682,3.629,11.585,
KIC10601579,6328.0,1.45,1.107,4.16,11.587,
KIC9649205,5786.0,1.007,0.934,4.402,11.594,
KIC6066107,,,,,11.597,
KIC3869326,4805.0,13.941,2.853,2.605,11.598,
KIC5131276,3711.0,150.091,3.686,0.652,11.598,
KIC5471108,5841.0,1.193,0.985,4.278,11.6,
KIC10552700,6875.0,2.856,1.868,3.798,11.601,
KIC7421876,,,,,11.606,
KIC6449358,7666.0,3.601,2.153,3.658,11.61,
KIC11506938,6581.0,1.468,1.23,4.192,11.612,
KIC9758615,,,,,11.613,
KIC8719324,,,,,11.614,
KIC4680745,6525.0,1.805,1.167,3.993,11.614,
KIC8123937,6157.0,2.306,1.302,3.827,11.626,
KIC5887393,7612.0,2.968,1.969,3.787,11.626,
KIC5437348,6578.0,1.744,1.36,4.087,11.628,
KIC5174920,8107.0,3.385,2.086,3.698,11.633,
KIC8590527,6465.0,1.847,1.101,3.947,11.634,
KIC12016267,6440.0,1.655,1.204,4.081,11.638,
KIC5513861,6592.0,1.19,1.211,4.369,11.638,
KIC11099351,9565.0,2.286,2.335,4.088,11.639,
KIC8258171,8308.0,2.879,2.197,3.861,11.641,
KIC7366036,6398.0,1.111,1.023,4.358,11.656,
KIC9007918,7207.0,1.894,1.499,4.06,11.658,
KIC4680772,6434.0,1.441,1.224,4.208,11.66,
KIC2012722,7046.0,2.724,1.834,3.831,11.661,
KIC6864859,6807.0,2.59,1.723,3.848,11.663,
KIC8554498,,,,,11.665,
KIC4913000,6496.0,1.33,1.209,4.272,11.668,
KIC8460634,4820.0,13.654,2.009,2.471,11.673,
KIC5908086,6691.0,7.781,2.703,3.088,11.674,
KIC8374741,5786.0,0.856,0.898,4.526,11.678,
KIC7885570,5587.0,2.553,1.35,3.754,11.679,
KIC10223615,,,,,11.679,
KIC5817566,8212.0,3.185,2.016,3.736,11.684,
KIC11673686,6195.0,1.781,1.0,3.937,11.685,
KIC5598645,4973.0,4.708,1.306,3.208,11.693,
KIC10982373,,,,,11.696,
KIC11465869,5359.0,0.741,0.823,4.611,11.697,
KIC8509781,6081.0,0.966,1.022,4.478,11.701,
KIC10619109,7128.0,2.135,1.479,3.95,11.704,
KIC5482603,5780.0,1.0,1.0,4.438,11.706,
KIC11153259,7894.0,3.521,1.995,3.644,11.708,
KIC10735575,3940.0,84.461,1.498,0.76,11.709,
KIC6515722,9174.0,2.471,2.294,4.013,11.721,
KIC9958053,,,,,11.727,
KIC10686876,8143.0,2.361,1.854,3.96,11.727,
KIC5211631,6897.0,1.635,1.291,4.121,11.733,
KIC11296437,7102.0,1.874,1.497,4.068,11.741,
KIC8801343,6520.0,2.26,1.3,3.844,11.743,
KIC9210823,5812.0,3.227,1.504,3.598,11.743,
KIC7025526,4699.0,0.676,0.756,4.637,11.748,
KIC11456382,6366.0,1.543,1.273,4.167,11.751,
KIC6307537,4889.0,0.788,0.839,4.569,11.753,
KIC12644769,4451.0,0.62,0.633,4.654,11.762,
KIC12008916,5166.0,6.891,2.282,3.12,11.765,
KIC6230649,6743.0,1.433,1.043,4.144,11.765,
KIC7177892,6226.0,1.594,1.264,4.135,11.766,
KIC2305819,6070.0,1.277,0.778,4.117,11.766,
KIC5308778,5043.0,3.956,1.098,3.284,11.777,
KIC10735519,4822.0,12.899,2.785,2.662,11.78,
KIC8192427,6060.0,2.93,1.401,3.65,11.784,
KIC7032968,6045.0,0.999,0.863,4.375,11.786,
KIC6468337,6061.0,1.653,1.056,4.025,11.787,
KIC6147122,7839.0,2.069,1.878,4.08,11.798,
KIC5025217,6286.0,7.342,2.233,3.056,11.8,
KIC5730380,6092.0,1.363,0.881,4.114,11.8,
KIC5771589,6180.0,1.686,1.053,4.007,11.809,
KIC6526377,,,,,11.809,
KIC7631194,4994.0,12.487,2.731,2.682,11.817,
KIC4848423,6327.0,1.29,1.257,4.315,11.825,
KIC11456279,7338.0,1.593,1.553,4.225,11.825,
KIC8556077,6422.0,1.295,1.082,4.249,11.826,
KIC9277210,6701.0,2.236,1.472,3.907,11.833,
KIC9959494,6620.0,1.081,1.097,4.411,11.834,
KIC3443790,6261.0,2.789,1.378,3.686,11.84,
KIC4144236,6621.0,1.297,1.213,4.294,11.856,
KIC5091075,7450.0,3.063,1.637,3.68,11.857,
KIC9239670,5678.0,1.298,0.891,4.161,11.858,
KIC5268955,5845.0,1.352,1.003,4.178,11.863,
KIC6035335,7274.0,1.698,1.523,4.161,11.865,
KIC7700871,5761.0,0.815,0.857,4.548,11.871,
KIC2712825,6335.0,1.401,1.172,4.214,11.871,
KIC9541567,,,,,11.872,
KIC11098004,6293.0,1.213,1.045,4.291,11.878,
KIC6146418,6070.0,1.777,1.074,3.969,11.878,
KIC9008125,5220.0,1.887,0.835,3.808,11.879,
KIC9602595,8105.0,2.433,1.868,3.937,11.882,
KIC7220322,5916.0,1.175,0.995,4.296,11.884,
KIC7019580,5099.0,5.032,1.836,3.299,11.888,
KIC6936966,5853.0,0.895,0.99,4.529,11.894,
KIC6032981,5234.0,16.959,2.698,2.41,11.899,
KIC2853828,6327.0,1.259,1.089,4.276,11.899,
KIC4851283,5780.0,1.0,1.0,4.438,11.908,
KIC9655005,7872.0,3.367,2.228,3.732,11.915,
KIC7838906,4289.0,35.695,1.863,1.603,11.925,
KIC5125048,,,,,11.941,
KIC5738698,6466.0,1.21,1.011,4.278,11.941,
KIC2850321,,,,,11.941,
KIC4863753,5176.0,3.605,1.621,3.534,11.942,
KIC10284575,7296.0,1.818,1.526,4.103,11.943,
KIC6386784,6773.0,1.69,1.207,4.063,11.945,
KIC8345473,4507.0,12.787,1.467,2.391,11.946,
KIC7293937,5780.0,1.0,1.0,4.438,11.948,
KIC8739209,6313.0,1.594,1.22,4.12,11.956,
KIC9289960,,,,,11.957,
KIC4931073,6675.0,2.747,1.54,3.748,11.957,
KIC9305012,9189.0,2.692,1.933,3.864,11.96,
KIC4927734,8431.0,2.485,2.1,3.97,11.96,
KIC7914906,7279.0,2.624,1.8,3.856,11.961,
KIC5130890,,,,,11.965,
KIC4138557,5908.0,1.862,0.977,3.888,11.968,
KIC4917014,4897.0,13.499,1.935,2.464,11.971,
KIC10079481,6158.0,1.066,0.998,4.382,11.976,
KIC5398002,8753.0,3.746,2.385,3.668,11.98,
KIC8702921,4968.0,5.026,1.8,3.291,11.98,
KIC10399321,5601.0,1.342,0.915,4.144,11.981,
KIC7032174,6108.0,1.753,0.876,3.893,11.983,
KIC5271637,5831.0,1.305,1.071,4.236,11.985,
KIC2578811,3861.0,46.169,0.893,1.06,11.989,
KIC11154043,8912.0,2.299,2.164,4.05,11.991,
KIC5021737,6501.0,1.441,1.236,4.212,11.997,
KIC4825872,6382.0,1.961,1.222,3.94,11.998,
KIC2693092,6078.0,2.07,1.38,3.946,12.003,
KIC11869052,5670.0,1.264,0.937,4.206,12.003,
KIC5177065,6472.0,1.299,1.146,4.271,12.005,
KIC9172506,6225.0,1.646,1.08,4.039,12.009,
KIC8737343,6031.0,1.566,1.132,4.103,12.011,
KIC3342952,5689.0,0.976,0.918,4.422,12.023,
KIC6606669,4555.0,15.63,1.974,2.346,12.026,
KIC3228825,6454.0,1.587,1.336,4.163,12.028,
KIC9941425,4067.0,38.446,1.874,1.541,12.032,
KIC11392618,5725.0,1.384,0.981,4.148,12.037,
KIC9906489,6543.0,1.159,1.181,4.382,12.039,
KIC3965326,6098.0,1.245,1.09,4.286,12.045,
KIC9588822,5529.0,2.817,1.402,3.685,12.045,
KIC10338279,5615.0,0.842,0.778,4.478,12.049,
