toi,tid,tfopwg_disp,pl_orbper,pl_trandep,pl_trandurh,pl_tranmid,pl_rade,pl_insol,pl_eqt,st_tmag,st_teff,st_rad,st_logg,st_dist,ra,dec
877.01,255704097,APC,6.015802,5341.6796352,1.8775214,2459174.826371,13.627855,1280.3562297,1525.6413615,10.6237,7836.0,1.59435,4.14,452.682,99.11511,-50.297401
880.01,34077285,PC,6.3872524,3510.0,2.608,2459224.830978,5.0445,73.9967,817.0,9.2563,4935.0,0.82,4.52,60.6679,94.164473,-13.987337
883.01,123846039,PC,10.0577297,4860.0,3.65,2459200.686728,7.17665,91.5488,861.0,9.3722,5651.0,1.01,4.43,102.637,103.369061,-6.507835
885.01,25334160,APC,2.56876,360.521,2.767,2458471.20029,17.6099,357.805,1211.0,10.1775,4312.9,8.43,,693.394,98.26778,-10.870679
887.01,437984134,APC,5.77114,1931.81,2.791,2458472.07754,10.9488,408.749,1252.0,8.16507,7173.0,2.26,4.03,192.612,94.545308,15.952049
890.01,333607525,APC,3.2022978,41820.0,3.51,2459226.741148,34.5557,1640.28,,10.936,6600.0,1.67,4.17,474.565,100.36319,-12.285043
893.01,123958679,PC,5.6148305,2300.0,3.829,2459210.205916,9.62058,3420.14,2130.0,11.4847,9856.0,2.59,4.01,1241.42,103.678583,-7.131316
899.01,177162886,PC,12.8461943,8527.3304874,3.116081,2458544.868477,11.8867391,107.8059302,821.8270133,11.5865,5591.0,1.18787,4.30695,304.798,104.492446,-71.523106
900.01,210873792,PC,4.8495236,1558.4108001,3.060243,2458626.476544,2.8759804,56.8543542,700.3428227,11.9085,3861.0,0.680711,4.71767,121.037,245.905129,-31.373574
901.01,214361331,PC,3.2308423,2427.4314638,0.9282699,2459362.247825,11.144364,1292.7015226,1529.3057261,9.6877,7062.0,1.38436,4.49596,190.467,261.062847,-50.386051
902.01,216935214,APC,18.2592673,1829.4851391,1.7158922,2458633.240139,15.8995046,358.7059761,1109.9525227,8.957,7142.0,2.2950301,4.15713,219.439,259.49578,-45.883555
903.01,238197638,PC,7.2766004,2440.0,4.626,2460044.048378,11.5799,591.917,1374.0,11.7874,6266.0,2.21,4.27,739.231,57.489027,-72.793731
906.01,298372701,PC,1.6647888,1600.0,1.152,2460094.242152,5.25863,751.21,1458.0,8.5097,5954.53,1.42,3.68582,133.752,239.825514,-49.366664
