tid,pl_orbper,label,pl_trandep,pl_tranmid
284450803,3.3686634,false_positive,3288.0,2460335.937572
160268701,11.2071839,false_positive,3276.0,2460352.734057
28230919,4.8878037,planet,4279.0,2460554.347022
350995812,2.97164,false_positive,7350.0,2458685.81643
21755546,0.660179,false_positive,473.0939303,2459420.415267
288391628,10.9278415,false_positive,2743.0,2460331.315598
349827430,5.5514888,planet,9493.0,2460361.366521
281541555,4.7423709,planet,12650.8110411,2458329.903155
16740101,1.4810903,planet,6788.5145388,2458683.457596
69679391,3.4741012,planet,15748.0,2460337.986375
237184773,6.5011911,false_positive,4501.3454064,2459392.715052
161450762,1.32003,false_positive,552.468,2458683.92594
117256577,1.6865822,false_positive,1770.0,2459443.850453
147576037,13.0727479,false_positive,4080.0,2459603.765773
379931600,2.9258727,false_positive,6720.0,2459446.175877
48188920,0.73774,false_positive,524.852,2458683.94707
238176110,2.7985802,planet,16708.7151957,2458326.688916
89510024,2.3664127,false_positive,300.0,2459446.146751
158324245,1.7635881,planet,6650.0,2460556.484069
16102323,3.2077145,false_positive,9640.0,2459822.312844
458478250,2.2552845,planet,20820.0,2460352.823449
138361973,1.8824539,false_positive,1391.0,2460556.103196
232967666,15.196,false_positive,1970.0,2458689.11633
41330864,2.1358631,false_positive,10325.0,2460363.632024
322307342,3.5862962,planet,5729.3246858,2459063.655791
294176967,1.8296155,false_positive,1406.0,2460556.995021
101929303,11.1876137,false_positive,4924.0,2460541.381489
1717732429,7.8513949,false_positive,22029.0,2460634.945689
232967440,7.0643978,planet,8268.0,2460341.784305
154089169,8.9534775,planet,1136.0,2460355.403307
30329585,7.5022708,false_positive,1760.0,2459437.549479
169177766,1.692892,false_positive,1418.0,2460556.672243
359496368,2.6652007,false_positive,819.0,2460646.783967
266980320,6.0344634,planet,1750.6457632,2460899.883842
158002130,9.6867516,planet,1669.0,2460473.411486
229510866,2.1031647,planet,7142.0,2460556.242383
341544930,7.6416041,false_positive,6025.0,2460386.22206
258777137,5.9294088,false_positive,10226.0,2460654.565628
233087860,5.7484439,planet,1041.0,2460558.350441
83210867,1.1967018,false_positive,824.0,2460532.182655
289539327,11.2464616,false_positive,7576.0,2460649.2545
15247229,8.5112,false_positive,4172.76,2458687.19253
231702397,5.0780325,planet,5923.1283069,2458329.118988
349095149,91.6827832,planet,713.2183569,2458404.181466
382437043,14.64319,false_positive,242.7923919,2458337.747012
299798795,4.1782656,planet,2537.6781602,2458327.705053
360156606,27.3613778,planet,20690.6684294,2458617.479256
300038935,29.0496801,planet,297.0644469,2460904.701871
290131778,3.3088922,planet,4736.0,2460175.035028
287156968,25.0571312,planet,533.486013,2458620.316686
447061717,24.2454967,planet,6260.6703602,2458563.890468
364395234,14.2545623,planet,7899.6939555,2460938.773643
260647166,14.1758947,planet,907.1324529,2459308.481159
90504905,2.2645386,false_positive,15019.9420903,2458685.613152
103633434,3.4447015,planet,796.0,2460333.631473
120757718,3.0300715,planet,21794.6136956,2459422.690639
120960812,12.72038,planet,1070.0,2459781.665928
153951307,3.2947689,planet,1324.0402774,2458684.28731
308034948,0.831542,false_positive,248.969585,2458569.713498
33878688,79.3739596,false_positive,1227.0,2459187.361317
399144800,27.2149622,false_positive,4731.4046225,2458576.189436
43064903,6.261169,false_positive,4005.022808,2459770.682182
163539739,14.4751062,planet,9618.5798534,2459826.540249
224297258,9.6141636,planet,933.6532689,2459659.673503
391949880,4.9404714,planet,455.0,2460175.867159
236445129,0.9689927,planet,13532.9710157,2459445.892853
266593143,10.338505,planet,18162.0,2460539.055031
267561446,1.283251,false_positive,1961.318203,2458711.815604
274662200,1.2284388,false_positive,1229.4965125,2458712.3664
365733349,2.6998294,planet,2798.0,2460445.649979
408203470,0.581322,false_positive,3206.6010016,2458711.410631
158170594,1.7208555,planet,10014.2587401,2459421.32991
219698776,4.6595169,planet,1725.1706259,2459598.143164
219850915,6.4002807,planet,1026.6018729,2459913.810947
230127302,18.6548829,planet,1495.4449473,2459733.643821
232540264,15.9234883,planet,493.0,2460311.844914
232612416,4.3601536,planet,5592.2909183,2458687.1215
232976128,13.0791581,planet,1143.0,2460342.349121
